iter	Passed	Remaining
735	8841	3171
736	8854	3159
737	8864	3146
738	8877	3135
739	8891	3123
740	8904	3112
741	8917	3100
742	8929	3088
743	8942	3076
744	8954	3064
745	8966	3052
746	8979	3041
747	8990	3028
748	9002	3016
749	9012	3004
750	9024	2992
751	9037	2980
752	9049	2968
753	9061	2956
754	9073	2944
755	9085	2932
756	9100	2921
757	9113	2909
758	9128	2898
759	9140	2886
760	9152	2874
761	9164	2862
762	9175	2850
763	9185	2837
764	9197	2825
765	9208	2813
766	9221	2801
767	9234	2789
768	9246	2777
769	9258	2765
770	9270	2753
771	9282	2741
772	9294	2729
773	9306	2717
774	9318	2705
775	9330	2693
776	9342	2681
777	9353	2669
778	9366	2657
779	9379	2645
780	9391	2633
781	9403	2621
782	9416	2609
783	9429	2597
784	9443	2586
785	9456	2574
786	9468	2562
787	9483	2551
788	9498	2540
789	9513	2528
790	9529	2517
791	9544	2506
792	9558	2495
793	9573	2483
794	9586	2472
795	9599	2460
796	9619	2450
797	9633	2438
798	9648	2427
799	9659	2414
800	9670	2402
801	9680	2389
802	9691	2377
803	9702	2365
804	9712	2352
805	9723	2340
806	9734	2328
807	9745	2315
808	9755	2303
809	9766	2290
810	9777	2278
811	9788	2266
812	9799	2254
813	9809	2241
814	9820	2229
815	9831	2216
816	9841	2204
817	9852	2192
818	9862	2179
819	9872	2167
820	9884	2155
821	9895	2142
822	9905	2130
823	9917	2118
824	9928	2106
825	9938	2093
826	9949	2081
827	9960	2068
828	9971	2056
829	9983	2044
830	9994	2032
831	10005	2020
832	10016	2008
833	10026	1995
834	10038	1983
835	10049	1971
836	10060	1959
837	10071	1946
838	10083	1934
839	10094	1922
840	10105	1910
841	10120	1899
842	10132	1886
843	10146	1875
844	10158	1863
845	10169	1851
846	10180	1839
847	10191	1826
848	10203	1814
849	10214	1802
850	10224	1790
851	10235	1777
852	10247	1765
853	10258	1753
854	10268	1741
855	10279	1729
856	10289	1716
857	10300	1704
858	10311	1692
859	10321	1680
860	10334	1668
861	10345	1656
862	10356	1644
863	10367	1631
864	10378	1619
865	10390	1607
866	10401	1595
867	10413	1583
868	10424	1571
869	10436	1559
870	10447	1547
871	10459	1535
872	10470	1523
873	10482	1511
874	10495	1499
875	10506	1487
876	10518	1475
877	10530	1463
878	10544	1451
879	10558	1439
880	10572	1428
881	10586	1416
882	10599	1404
883	10610	1392
884	10626	1380
885	10637	1368
886	10670	1359
887	10683	1347
888	10694	1335
889	10706	1323
890	10719	1311
891	10731	1299
892	10744	1287
893	10758	1275
894	10771	1263
895	10785	1251
896	10799	1240
897	10811	1228
898	10824	1216
899	10837	1204
900	10850	1192
901	10863	1180
902	10877	1168
903	10891	1156
904	10904	1144
905	10917	1132
906	10931	1120
907	10944	1108
908	10957	1096
909	10972	1085
910	10991	1073
911	11005	1061
912	11021	1050
913	11033	1038
914	11045	1026
915	11057	1014
916	11069	1001
917	11082	989
918	11095	977
919	11107	965
920	11118	953
921	11130	941
922	11141	929
923	11151	917
924	11162	905
925	11173	892
926	11184	880
927	11195	868
928	11206	856
929	11218	844
930	11229	832
931	11241	820
932	11251	808
933	11262	795
934	11272	783
935	11284	771
936	11295	759
937	11306	747
938	11317	735
939	11328	723
940	11339	710
941	11350	698
942	11362	686
943	11373	674
944	11385	662
945	11396	650
946	11408	638
947	11421	626
948	11434	614
949	11446	602
950	11458	590
951	11470	578
952	11483	566
953	11495	554
954	11508	542
955	11521	530
956	11534	518
957	11547	506
958	11559	494
959	11569	482
960	11580	469
961	11591	457
962	11602	445
963	11613	433
964	11624	421
965	11635	409
966	11645	397
967	11655	385
968	11667	373
969	11679	361
970	11690	349
971	11701	337
972	11712	325
973	11724	312
974	11735	300
975	11748	288
976	11759	276
977	11771	264
978	11783	252
979	11795	240
980	11808	228
981	11820	216
982	11832	204
983	11844	192
984	11856	180
985	11869	168
986	11887	156
987	11902	144
988	11914	132
989	11925	120
990	11936	108
991	11947	96
992	11959	84
993	11970	72
994	11981	60
995	11991	48
996	12002	36
997	12013	24
998	12023	12
999	12036	0
